,ContextName,DisplayName,Id,Confirmed,RaceNr,UciRiderId,UciCode,FamilyName,GivenName,CategoryCode,PrintName,ScoreboardName,Nation,UciTeamId,UciTeamCode,UciTeamName,WorldCupRank,UciRank,UciPoints,SecondaryRank,StartOrder,StartTime,Outfit,BirthDate,Protected,IntEliteNr,Rso,Injury,Substitute,RotationOrder,timing_id,Status,Speed,Sector1_RaceTime,Sector1_TimeGap,Sector1_Position,Sector2_RaceTime,Sector2_TimeGap,Sector2_Position,Sector3_RaceTime,Sector3_TimeGap,Sector3_Position,Sector4_RaceTime,Sector4_TimeGap,Sector4_Position,Sector5_RaceTime,Sector5_TimeGap,Sector5_Position,season,venue,round,discipline,GroupIdx
0,20250516_mtb,"Timed Training, Men Elite",1002,False,1002,10008723112,FRA19960705,VERGIER,Loris,ME,VERGIER Loris,VERGIER Loris,FRA,CMO,CMO,COMMENCAL/MUC-OFF BY RIDING ADDICTION,10,7,0.0,0,0,0,WCh,1996-07-05T00:00:00,0,False,0,0,0,0,1002,Finished,50.314465408805034,40619.0,443.0,10.0,89717.0,162.0,73.0,113704.0,546.0,37.0,158596.0,948.0,30.0,184001.0,1767.0,4.0,2025,Bielsko-Biala,1,dh,
1,20250516_mtb,"Timed Training, Men Elite",1003,False,1003,10007307417,AUS19930713,BROSNAN,Troy,ME,BROSNAN Troy,BROSNAN Troy,AUS,CFT,CFT,CANYON CLLCTV FACTORY TEAM,2,8,0.0,0,0,0,,1993-07-13T00:00:00,0,False,0,0,0,0,1003,Finished,47.462096242584046,40300.0,124.0,8.0,90673.0,1118.0,170.0,116315.0,3157.0,136.0,161384.0,3736.0,114.0,187452.0,5218.0,15.0,2025,Bielsko-Biala,1,dh,
2,20250516_mtb,"Timed Training, Men Elite",1004,False,1004,10008827283,FRA19960403,PIERRON,Amaury,ME,PIERRON Amaury,PIERRON Amaury,FRA,CMO,CMO,COMMENCAL/MUC-OFF BY RIDING ADDICTION,3,4,0.0,0,0,0,,1996-04-03T00:00:00,0,False,0,0,0,0,1004,Finished,47.93608521970706,40777.0,601.0,4.0,89877.0,322.0,3.0,114599.0,1441.0,2.0,159932.0,2284.0,2.0,183707.0,1473.0,3.0,2025,Bielsko-Biala,1,dh,
3,20250516_mtb,"Timed Training, Men Elite",1005,False,1005,10005470073,GBR19910920,HART,Danny,ME,HART Danny,HART Danny,GBR,NRD,NRD,NORCO RACE DIVISION,14,13,0.0,0,0,0,,1991-09-20T00:00:00,0,False,0,0,0,0,1005,Finished,47.745358090185675,40475.0,299.0,11.0,91040.0,1485.0,11.0,116426.0,3268.0,9.0,162140.0,4492.0,7.0,188092.0,5858.0,22.0,2025,Bielsko-Biala,1,dh,
4,20250516_mtb,"Timed Training, Men Elite",1006,False,1006,10053812449,CAN20041002,GOLDSTONE,Jackson,ME,GOLDSTONE Jackson *,GOLDSTONE Jackson,CAN,SCS,SCS,SANTA CRUZ SYNDICATE,2,674,0.0,0,0,0,,2004-10-02T00:00:00,0,False,0,0,0,0,1006,Finished,46.78362573099415,42029.0,1853.0,61.0,94275.0,4720.0,200.0,119556.0,6398.0,198.0,166594.0,8946.0,196.0,191996.0,9762.0,42.0,2025,Bielsko-Biala,1,dh,
5,20250516_mtb,"Timed Training, Men Elite",1008,False,1008,10017006104,IRL20021122,DUNNE,Ronan,ME,DUNNE Ronan,DUNNE Ronan,IRL,MFR,MFR,MONDRAKER FACTORY RACING DH,4,1,0.0,0,0,0,,2002-11-22T00:00:00,0,False,0,0,0,0,1008,Finished,46.99738903394256,41784.0,1608.0,190.0,92315.0,2760.0,100.0,117638.0,4480.0,58.0,163284.0,5636.0,42.0,187872.0,5638.0,18.0,2025,Bielsko-Biala,1,dh,
6,20250516_mtb,"Timed Training, Men Elite",1009,False,1009,10008194359,FRA19941220,COULANGES,Benoit,ME,COULANGES Benoit,COULANGES Benoit,FRA,SDH,SDH,SCOTT DOWNHILL FACTORY,7,3,0.0,0,0,0,,1994-12-20T00:00:00,0,False,0,0,0,0,1009,Finished,48.16053511705686,40699.0,523.0,2.0,90475.0,920.0,2.0,115344.0,2186.0,3.0,161109.0,3461.0,3.0,186211.0,3977.0,10.0,2025,Bielsko-Biala,1,dh,
7,20250516_mtb,"Timed Training, Men Elite",1010,False,1010,10110184506,NZL20040119,STEVENS-MCNAB,Lachlan,ME,STEVENS-MCNAB Lachlan *,STEVENS-MCNAB Lachlan,NZL,TFD,TFD,TREK FACTORY RACING DH,12,5,0.0,0,0,0,,2004-01-19T00:00:00,0,False,0,0,0,0,1010,Finished,48.484848484848484,41931.0,1755.0,28.0,187263.0,97708.0,110.0,212414.0,99256.0,73.0,258155.0,100507.0,57.0,283337.0,101103.0,78.0,2025,Bielsko-Biala,1,dh,
8,20250516_mtb,"Timed Training, Men Elite",1011,False,1011,10009563271,GBR19961106,WILSON,Reece,ME,WILSON Reece,WILSON Reece,GBR,AON,AON,AON RACING - TOURNE CAMPERVANS,20,38,0.0,0,0,0,,1996-11-06T00:00:00,0,False,0,0,0,0,1011,Finished,45.80152671755725,42163.0,1987.0,193.0,93533.0,3978.0,127.0,118997.0,5839.0,82.0,165537.0,7889.0,78.0,190783.0,8549.0,36.0,2025,Bielsko-Biala,1,dh,
9,20250516_mtb,"Timed Training, Men Elite",1012,False,1012,10008813442,USA19961225,SHAW,Luca,ME,SHAW Luca,SHAW Luca,USA,CFT,CFT,CANYON CLLCTV FACTORY TEAM,8,11,0.0,0,0,0,,1996-12-25T00:00:00,0,False,0,0,0,0,1012,Finished,47.27511490479317,41109.0,933.0,14.0,91961.0,2406.0,68.0,117808.0,4650.0,33.0,162818.0,5170.0,25.0,188419.0,6185.0,24.0,2025,Bielsko-Biala,1,dh,
